Назва закладки,URL-адреса,Призначення
Графік навчального процесу,https://dspu.edu.ua/rozklad/,Розклад занять та сесій
Навчальні плани,https://dspu.edu.ua/navchalni-plany/,Перелік дисциплін за спеціальностями
Контакти університету,https://dspu.edu.ua/kontakty/,Контакти адміністрації та ІТ-підтримки
Освітня програма Комп'ютерні науки,https://dspu.edu.ua/gromadske-obgovorennya/proyekt-osvitno-profesijnoyi-programy-kompyuterni-nauky/,Деталі освітньої програми
Бібліотека ДДПУ,https://lib.dspu.edu.ua,Електронні ресурси бібліотеки
Факультет фізики математики та ІТ,https://dspu.edu.ua/fakultet-fizyky-matematyky-ekonomiky-ta-innovaczijnyh-tehnologij/,Інформація про факультет

